Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United Kingdom,GBR,Education_E_PI,SE.XPD.CTOT.ZS,88.58717346,93.84577179,..,97.32396698,97.28891754,97.38407898,97.69721985,97.49172974,97.68508148,..
Italy,ITA,Bachelor_A,SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..
Italy,ITA,Primary_A,SE.PRM.CUAT.ZS,93.69986725,93.97998047,94.38954926,..,95.00382996,95.26946259,..,..,..,..
Italy,ITA,Master_A,SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..,..,..,..
Italy,ITA,Doctorate_A,SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..,..,..,..
Italy,ITA,Primary_E,SE.XPD.PRIM.ZS,24.97795,24.72651,23.97914,24.39744,24.48862,24.97218,23.94555,..,..,..
Italy,ITA,Secondary_E,SE.XPD.SECO.ZS,42.93539,42.47051,42.97316,42.70249,42.41115,42.74304,..,..,..,..
Italy,ITA,Tertiary_E,SE.XPD.TERT.ZS,18.76402,19.35506,19.26296,19.56552,19.58569,18.59916,19.11673,..,..,..
Italy,ITA,Government_EE,SE.XPD.TOTL.GB.ZS,8.68076992,8.369560242,8.017430305,8.132579803,7.985929966,8.095910072,7.77489996,8.295180321,8.795740128,..
Italy,ITA,Secondary_A,SE.SEC.CUAT.PO.ZS,12.78264999,12.7895298,13.54080963,..,14.44799995,14.96650028,..,..,..,..
Italy,ITA,Education_E_PI,SE.XPD.CTOT.ZS,95.17899323,95.26046753,95.90007019,94.56848907,95.16190338,95.02345276,96.44463348,97.96617126,97.21938324,..
Netherlands,NLD,Bachelor_A,SE.TER.CUAT.BA.ZS,..,..,..,27.21899033,28.01170921,28.86907005,29.40674019,..,31.09321022,..
Netherlands,NLD,Primary_A,SE.PRM.CUAT.ZS,98.30075836,98.31741333,98.39971924,98.46996307,98.43279266,98.44808197,98.50618744,..,98.5149765,..
Netherlands,NLD,Master_A,SE.TER.CUAT.MS.ZS,..,..,..,10.06694031,10.55712986,10.73480034,11.02005959,..,11.72916985,..
Netherlands,NLD,Doctorate_A,SE.TER.CUAT.DO.ZS,..,..,..,0.554610014,0.560840011,0.567080021,0.579590023,..,0.627430022,..
Netherlands,NLD,Primary_E,SE.XPD.PRIM.ZS,..,..,..,..,..,22.34611,21.22068,..,..,..
Netherlands,NLD,Secondary_E,SE.XPD.SECO.ZS,..,..,..,..,..,40.90696,40.48964,..,..,..
Netherlands,NLD,Tertiary_E,SE.XPD.TERT.ZS,..,..,..,..,..,30.12593,31.92546,..,..,..
Netherlands,NLD,Government_EE,SE.XPD.TOTL.GB.ZS,11.66905022,11.88770962,11.77606964,12.09424019,12.15079975,12.20965004,12.80685997,12.42325974,12.91154957,..
Netherlands,NLD,Secondary_A,SE.SEC.CUAT.PO.ZS,32.18877029,31.62738037,32.0577507,30.28775024,30.5605793,31.20981026,31.7883091,..,33.29138184,..
Netherlands,NLD,Education_E_PI,SE.XPD.CTOT.ZS,88.1191864,88.18881226,87.74037933,87.82463837,87.94785309,88.61257935,89.17971802,89.08101654,89.38160706,..
Ukraine,UKR,Bachelor_A,SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,Primary_A,SE.PRM.CUAT.ZS,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,Master_A,SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..,..,..,..
